Serial2,F05_01,F05_01_ENG,F05_02,F05_02 ENG,F05_03,F05_04,F12,F13,F15,F15 ENG,F16,F16 ENG,F20,F21,F30,F30 ENG,F31_01,F31_01_ENG,F31_02,F31_02_ENG,F31_03,F31_03_ENG,F31_04,F31_04_ENG,F31_05,F31_05_ENG,F31_06,F31_06_ENG,F31_07,F31_07_ENG,F31_08,F31_08_ENG,F32,F33,hFerienDauer,hGruppePersonen,F80,F80_a05,F81_01,F81_02,F81_03,F81_04,F81_05,F81_06,F81_Total,F82_01,F82_02,F82_03,F82_04,F82_05,F82_06,F82_07,F82_Total,F83,F85,F105,F105A,F105_Code,F105_Code_nr,F105_OrgCode,F125,F125_ENG,F125_a11,F125_a11 ENG,F130,F130_a07,F135_01,F12_F13_Mittelwert_2Cat_final
11096,Europa,Europe,Schweiz,Switzerland,Aargau,,18.05.2023,24.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,2,,7,2,CHF,,150,60,300,0,0,0,510,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Campingplatz,Campsite,,,,,3,Summer
11109,Europa,Europe,Schweiz,Switzerland,Bern,,27.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,430,60,400,0,0,0,890,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,3,Summer
11121,Europa,Europe,Frankreich,France,Auvergne-Rhône-Alpes,,26.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,4,1,CHF,,0,40,100,0,0,60,200,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,4,Summer
11157,Europa,Europe,Deutschland,Germany,Baden-Württemberg,,26.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,€,,0,30,350,0,0,0,380,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,4,Summer
11165,Europa,Europe,Frankreich,France,Auvergne-Rhône-Alpes,,20.05.2023,22.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,3,1,CHF,,300,0,150,0,0,50,500,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,3,Summer
11170,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,Idaho,,19.05.2023,29.05.2023,Frühling,Spring,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,5,10,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,11,4,CHF,,6000,2200,1200,700,0,0,10100,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Summer
11172,Nord- und Mittelamerika,North and Central America,Kanada,Canada,Alberta,,10.04.2023,02.05.2023,Frühling,Spring,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,5,21,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,23,5,CHF,,2500,550,2800,1700,4000,0,11550,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Gemietete Wohnung / Haus,Rented apartment / house,,,,,1,Winter
11173,Europa,Europe,Schweiz,Switzerland,Aargau,,05.05.2023,12.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),5,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,8,3,CHF,,2500,400,1000,50,0,50,4000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
11188,Europa,Europe,Vereinigtes Königreich,United Kingdom,Scotland,Stirling,24.05.2023,01.06.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,£,,1000,0,1000,40,0,400,2440,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
11195,Europa,Europe,Schweiz,Switzerland,Luzern,,25.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,5,4,CHF,,1200,0,1000,0,100,0,2300,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,5,Summer
11211,Europa,Europe,Frankreich,France,Bourgogne-Franche-Comté,,27.05.2023,29.05.2023,Frühling,Spring,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,2,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,3,5,€,,1560,200,700,150,100,100,2810,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Hotel,Hotel,,,2,Summer
11217,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,28.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,€,,220,75,175,0,0,0,470,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,2,Summer
11240,Europa,Europe,Niederlande,Netherlands,Overijssel,,19.05.2023,23.05.2023,Frühling,Spring,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,11,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,,26+,5,26+,CHF,,14000,0,3000,1800,1200,0,20000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,4,Summer
11252,Europa,Europe,Schweiz,Switzerland,Bern,,18.05.2023,21.05.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,2,,4,2,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Campingplatz,Campsite,,,,,4,Summer
11260,Asien,Asia,Taiwan,Taiwan,Taiwan,,19.05.2023,23.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,,1,5,1,€,,0,200,100,0,0,0,300,,,,,,,,,,Ja,Lausanne (??),,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,5,Summer
11267,Südamerika,South America,Brasilien,Brazil,Bahia,,30.04.2023,09.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,10,4,CHF,,0,500,500,400,600,300,2300,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Andere,Other,Somente passamos o dia em Montreax,We just spent the day in Montreax,,,10,Summer
11268,Europa,Europe,Frankreich,France,Île-de-France,,27.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,€,,200,200,300,0,0,0,700,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,3,Summer
11273,Nord- und Mittelamerika,North and Central America,Kanada,Canada,Colombie-Britannique,,06.05.2023,27.05.2023,Sommer,Summer,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,2,5,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,22,5,CHF,,5000,0,2000,0,0,1500,8500,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,,#N/A,,,,,,Summer
11280,Australien und Ozeanien,Australia and Oceania,Australien,Australia,Western Australia,,27.04.2023,05.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Andere,Other,Transit between cities,Transit between cities,,,9,Summer
11291,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,California,,25.04.2023,11.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),1,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,17,2,$,,3500,1200,300,0,200,0,5200,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Bed & Breakfast,Bed & Breakfast,,,,,17,Summer
11296,Nord- und Mittelamerika,North and Central America,Kanada,Canada,Ontario,,21.05.2023,25.05.2023,Frühling,Spring,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,30,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,CHF,,100,12,375,8,0,0,495,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,4,Summer
11301,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,27.05.2023,30.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,CHF,,700,80,350,170,0,0,1300,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,1,Summer
11307,Asien,Asia,Indien,India,Delhi,,11.05.2023,21.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,11,2,Andere,INR,45000,10000,50000,20000,50000,10000,185000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Summer
11323,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Cornwall,17.05.2023,25.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,£,,1000,600,600,500,150,100,2950,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,1,Summer
11324,Europa,Europe,Tschechien,Czechia,kraj Vysocina,,28.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,2,1,CHF,,0,0,100,0,0,0,100,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,2,Summer
11341,Europa,Europe,Liechtenstein,Liechtenstein,,,19.05.2023,21.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,2,,3,2,CHF,,700,0,500,0,500,100,1800,,,,,,,,,,Ja,Prangins,,Prangins,314,Nyon Région Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
11360,Europa,Europe,Schweiz,Switzerland,Bern,,20.05.2023,26.05.2023,Frühling,Spring,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,7,2,CHF,,140,20,150,0,220,100,630,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Campingplatz,Campsite,,,,,5,Summer
11365,Europa,Europe,Frankreich,France,Île-de-France,,28.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,€,,250,0,500,0,0,100,850,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Summer
11371,Europa,Europe,Frankreich,France,Île-de-France,,01.05.2023,03.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,3,4,CHF,,0,200,800,300,150,0,1450,,,,,,,,,,Ja,Vevey,,Vevey,290,Montreux Riviera,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,3,Summer
11377,Europa,Europe,Italien,Italy,Piemonte,,27.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,380,200,400,50,0,50,1080,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,3,Summer
11391,Europa,Europe,Frankreich,France,Hauts-de-France,,24.05.2023,28.05.2023,Frühling,Spring,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,2,8,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,5,3,CHF,,650,0,750,250,350,0,2000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Des amis,Friends,,,3,Summer
11396,Europa,Europe,Schweiz,Switzerland,Wallis,,17.05.2023,20.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,4,4,CHF,,150,0,150,0,0,0,300,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Campingplatz,Campsite,,,,,4,Summer
11398,Asien,Asia,China,China,Sichuan,,17.05.2023,21.05.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),10,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,CHF,,590,550,500,150,0,0,1790,,,,,,,,,,Ja,Lausanne (??),,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,Ohne Kategorie,,1,Summer
11408,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,26.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,4,1,CHF,,0,120,100,50,0,30,300,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Andere,Other,Appartement (visite famille),Apartment (family visit),,,4,Summer
11417,Europa,Europe,Frankreich,France,Grand Est,,12.05.2023,14.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,€,,210,0,50,0,35,50,345,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Serviced Apartments / Chalets / Villas (Service während Aufenthalt),Serviced Apartments / Chalets / Villas (service during stay),,,,,3,Summer
11420,Europa,Europe,Niederlande,Netherlands,Zuid Holland,,17.05.2023,21.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,5,3,€,,900,200,200,30,0,0,1330,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,5,Summer
11458,Europa,Europe,Frankreich,France,Bourgogne-Franche-Comté,,27.05.2023,29.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,3,5,€,,1000,0,800,20,15,0,1835,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
11467,Europa,Europe,Niederlande,Netherlands,Zuid Holland,,17.05.2023,21.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,5,3,€,,800,200,100,0,0,100,1200,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,5,Summer
11469,Europa,Europe,Schweden,Sweden,Uppsala,,25.05.2023,31.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,7,1,Andere,SEK,0,600,1500,100,0,0,2200,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,7,Summer
11485,Europa,Europe,Frankreich,France,Bourgogne-Franche-Comté,,19.05.2023,20.05.2023,Frühling,Spring,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,€,,200,25,150,150,350,0,875,,,,,,,,,,Ja,Chavannes-de-Bogis,,Chavannes-de-Bogis,308,Nyon Région Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Summer
