Serial2;F05_01;F05_01 ENG;F05_02;F05_02 ENG;F05_03;F05_04;F12;F13;F15;F15 ENG;F16;F16 ENG;F17;F20;F21;F30;F30 ENG;F31_01;F31_01_ENG;F31_02;F31_02_ENG;F31_03;F31_03_ENG;F31_04;F31_04_ENG;F31_05;F31_05_ENG;F31_06;F31_06_ENG;F31_07;F31_07_ENG;F31_08;F31_08_ENG;F31_09;F32;F33;hFerienDauer;hGruppePersonen;F80;F80_a05;F81_01;F81_02;F81_03;F81_04;F81_05;F81_06;F81_Total;F82_01;F82_02;F82_03;F82_04;F82_05;F82_06;F82_07;F82_Total;F83;F85;F105;F105A;F105_Code;F105_Code_nr;F105_OrgCode;F125;F125_ENG;F125_a11;F125_a11 ENG;F130;F130_a07;F135_01;F12_F13_Mittelwert_2Cat_final
15932;Europa;Europe;Schweiz;Switzerland;Schaffhausen;;07.07.23;28.07.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;8;;22;8;CHF;;1200;150;750;250;250;200;2800;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;22;Summer
9802;Europa;Europe;Schweiz;Switzerland;Solothurn;;06.04.23;10.04.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;8;;5;8;CHF;;1200;0;500;0;0;0;1700;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;5;Winter
17131;Europa;Europe;Schweiz;Switzerland;Thurgau;;07.08.23;11.08.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;1;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;5;6;CHF;;1200;0;300;0;0;200;1700;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;5;Summer
17687;Europa;Europe;Schweiz;Switzerland;Thurgau;;29.07.23;05.08.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;7;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;8;2;CHF;;1200;150;600;0;0;0;1950;;;;;;;;;;Ja;Vallorbe;;Vallorbe;694;Yverdon-les-Bains Région;Hotel / Kurhaus;Hotel / Spa House;;;***;;1;Summer
9788;Europa;Europe;Deutschland;Germany;Thüringen;;10.04.23;14.04.23;Frühling;Spring;Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz;Round trip through Europe: only one overnight stay in Switzerland;;;7;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;5;2;CHF;;1200;0;700;200;0;0;2100;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;****;;4;Winter
14190;Nord- und Mittelamerika;North and Central America;Vereinigte Staaten von Amerika;United States of America;Virginia;;21.06.23;06.07.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;5;31;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;16;2;$;;1200;400;1500;200;0;2000;5300;;;;;;;;;;Ja;Nyon;;Nyon;313;Nyon Région Tourisme;Jugendherberge / Hostel;Youth Hostel / Hostel;;;;;1;Summer
8907;Europa;Europe;Schweiz;Switzerland;Waadt;;28.01.23;31.01.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;3;;4;3;CHF;;1200;0;400;200;100;0;1900;;;;;;;;;;Ja;Château-d'Oex;;Château-d'Oex;411;Pays d'Enhaut Tourisme;Bed & Breakfast;Bed & Breakfast;;;;;4;Winter
11819;Europa;Europe;Schweiz;Switzerland;Zürich;;13.05.23;27.05.23;Frühling;Spring;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;15;2;CHF;;1200;70;200;0;200;0;1670;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Jugendherberge / Hostel;Youth Hostel / Hostel;;;;;3;Summer
7542;Europa;Europe;Litauen;Lithuania;;;23.02.23;24.03.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;30;2;€;;1200;200;200;200;0;0;1800;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;*****;;30;Winter
10816;Afrika;Africa;Mauritius;Mauritius;;;06.05.23;12.05.23;Frühling;Spring;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;7;1;CHF;;1200;1100;500;400;400;40;3640;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Bed & Breakfast;Bed & Breakfast;;;;;1;Summer
11993;Europa;Europe;Griechenland;Greece;;;28.05.23;02.06.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;6;2;€;;1200;200;500;100;0;0;2000;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;***;;6;Summer
12260;Europa;Europe;Nordmazedonien;North Macedonia;;;10.06.23;11.06.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;3;;2;3;CHF;;1200;200;0;55;0;0;1455;;;;;;;;;;Ja;Echallens;;Echallens;117;Echallens Région Tourisme;Jugendherberge / Hostel;Youth Hostel / Hostel;;;;;2;Summer
22364;Europa;Europe;Schweiz;Switzerland;Aargau;;05.10.23;26.10.23;Herbst;Autumn;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;;;26+;22;26+;CHF;;1100;0;500;0;0;1000;2600;;;;;;;;;;Ja;Morges;;Morges;295;Morges Région;Campingplatz;Campsite;;;;;19;Summer
21244;Europa;Europe;Schweiz;Switzerland;Basel-Stadt;;06.08.23;13.08.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;8;2;CHF;;1100;100;500;0;50;0;1750;;;;;;;;;;Ja;Rougemont;;Rougemont;413;Pays d'Enhaut Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;8;Summer
12707;Europa;Europe;Schweiz;Switzerland;Bern;;20.05.23;27.05.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;3;;8;3;CHF;;1100;200;1000;0;0;300;2600;;;;;;;;;;Ja;L'Abbaye;;L'Abbaye;644;Vallée de Joux;Hotel / Kurhaus;Hotel / Spa House;;;Nicht bekannt;;8;Summer
19790;Europa;Europe;Spanien;Spain;Comunidad Autónoma de Galicia;;19.08.23;27.08.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;3;;9;3;CHF;;1100;0;1000;150;0;0;2250;;;;;;;;;;Ja;Nyon;;Nyon;313;Nyon Région Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;****;;9;Summer
19048;Europa;Europe;Vereinigtes Königreich;United Kingdom;England;Birmingham;22.08.23;28.08.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;7;4;€;;1100;20;450;300;0;0;1870;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;**;;7;Summer
9515;Europa;Europe;Deutschland;Germany;Nordrhein-Westfalen;;17.04.23;21.04.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;3;;5;3;€;;1100;250;600;0;0;0;1950;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;*****;;5;Winter
7439;Nord- und Mittelamerika;North and Central America;Vereinigte Staaten von Amerika;United States of America;Virginia;;13.03.23;21.03.23;Frühling;Spring;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;4;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;9;2;CHF;;1100;700;680;1400;0;200;4080;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;***;;2;Winter
15313;Europa;Europe;Schweiz;Switzerland;Zürich;;18.07.23;31.07.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;14;6;CHF;;1100;200;2000;0;200;0;3500;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;14;Summer
11093;Afrika;Africa;Réunion;Réunion;;;16.05.23;25.05.23;Frühling;Spring;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;10;1;CHF;;1100;250;400;400;100;49;2299;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Gemietete Wohnung / Haus;Rented apartment / house;;;;;6;Summer
11550;Afrika;Africa;Marokko;Morocco;;;29.04.23;07.05.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;9;4;€;;1100;300;400;200;0;0;2000;;;;;;;;;;Ja;Vevey;;Vevey;290;Montreux Riviera;Hotel / Kurhaus;Hotel / Spa House;;;***;;9;Summer
9005;Europa;Europe;Schweiz;Switzerland;Appenzell Innerrhoden ;;11.04.23;15.04.23;Frühling;Spring;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;5;4;CHF;;1064;150;200;50;250;50;1764;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Bed & Breakfast;Bed & Breakfast;;;;;5;Winter
20803;Europa;Europe;Schweiz;Switzerland;Zürich;;07.09.23;09.09.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;3;6;CHF;;1030;30;300;0;50;400;1810;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Hotel / Kurhaus;Hotel / Spa House;;;****;;3;Summer
16156;Europa;Europe;Schweiz;Switzerland;Aargau;;15.07.23;22.07.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;8;2;CHF;;1000;300;350;100;100;0;1850;;;;;;;;;;Ja;Bex;;Bex;670;Villars-Diablerets-Gryon-Bex;Gemietete Wohnung / Haus;Rented apartment / house;;;;;5;Summer
16413;Europa;Europe;Schweiz;Switzerland;Aargau;;17.07.23;30.07.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;6;;14;6;CHF;;1000;1500;1600;0;0;0;4100;;;;;;;;;;Ja;Montreux;;Montreux;289;Montreux Riviera;Andere;Other;Airbnb-Wohnung;Airbnb Apartment;;;1;Summer
21115;Europa;Europe;Schweiz;Switzerland;Aargau;;11.09.23;21.09.23;Herbst;Autumn;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;7;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;;2;;11;2;CHF;;1000;200;300;0;50;100;1650;;;;;;;;;;Ja;Morges;;Morges;295;Morges Région;Campingplatz;Campsite;;;;;2;Summer
19188;Australien und Ozeanien;Australia and Oceania;Neuseeland;New Zealand;Auckland;;21.08.23;27.08.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;10;23;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;7;1;£;;1000;1200;200;0;0;200;2600;;;;;;;;;;Ja;Lausanne (??);;Lausanne;253;Lausanne Tourisme;Andere;Other;Did not spend a night there;Airbnb Apartment;;;0;Summer
12292;Europa;Europe;Frankreich;France;Auvergne-Rhône-Alpes;;22.06.23;29.06.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;8;4;CHF;;1000;0;800;200;0;0;2000;;;;;;;;;;Ja;Nyon;;Nyon;313;Nyon Région Tourisme;Andere;Other;Amis;Friends;;;8;Summer
22185;Europa;Europe;Frankreich;France;Auvergne-Rhône-Alpes;;10.10.23;14.10.23;Herbst;Autumn;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;5;4;€;;1000;150;600;0;0;50;1800;;;;;;;;;;Ja;Leysin;;Leysin;7;Aigle-Leysin-Les Mosses;Hotel / Kurhaus;Hotel / Spa House;;;***;;4;Summer
22187;Europa;Europe;Frankreich;France;Auvergne-Rhône-Alpes;;10.10.23;14.10.23;Herbst;Autumn;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;5;4;€;;1000;0;500;100;200;0;1800;;;;;;;;;;Ja;Leysin;;Leysin;7;Aigle-Leysin-Les Mosses;Hotel / Kurhaus;Hotel / Spa House;;;***;;5;Summer
12365;Europa;Europe;Deutschland;Germany;Baden-Württemberg;;13.06.23;18.06.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;6;1;€;;1000;0;350;0;0;100;1450;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Hotel / Kurhaus;Hotel / Spa House;;;****;;3;Summer
21717;Europa;Europe;Deutschland;Germany;Baden-Württemberg;;15.07.23;22.07.23;Sommer;Summer;Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz;Round trip through Europe: several places to stay in Switzerland;;3;20;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;8;2;CHF;;1000;0;300;0;1000;0;2300;;;;;;;;;;Ja;Morges;;Morges;295;Morges Région;Campingplatz;Campsite;;;;;5;Summer
24293;Europa;Europe;Schweiz;Switzerland;Basel-Stadt;;27.12.23;02.01.24;Winter;Winter;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;3;;Nein;Non;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;;1;;7;1;CHF;;1000;200;200;0;0;100;1500;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.);Free apartment/house (own or from friends / relatives etc.);;;;;3;Winter
11057;Europa;Europe;Deutschland;Germany;Bayern;;18.05.23;23.05.23;Frühling;Spring;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;4;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;6;2;€;;1000;700;200;160;0;0;2060;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Andere;Other;I did not spent an overnight a Lausanne, but I stayed in Geneva;I did not spent an overnight a Lausanne, but I stayed in Geneva;;;0;Summer
17130;Europa;Europe;Deutschland;Germany;Bayern;;03.08.23;12.08.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;4;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;10;2;€;;1000;100;200;0;0;0;1300;;;;;;;;;;Ja;Lausanne;;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;Ohne Kategorie;;1;Summer
13429;Asien;Asia;China;China;Beijing;;02.07.23;08.07.23;Sommer;Summer;Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz);Round trip only within Switzerland (several overnight locations in Switzerland);;2;;Nein;Non;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;1;;7;1;CHF;;1000;200;1000;400;200;100;2900;;;;;;;;;;Ja;Lausanne (??);;Lausanne;253;Lausanne Tourisme;Hotel / Kurhaus;Hotel / Spa House;;;**;;5;Summer
4013;Europa;Europe;Schweiz;Switzerland;Bern;;05.02.23;11.02.23;Winter;Winter;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;4;;7;4;CHF;;1000;700;300;0;0;0;2000;;;;;;;;;;Ja;Leysin;;Leysin;7;Aigle-Leysin-Les Mosses;Gemietete Wohnung / Haus;Rented apartment / house;;;;;7;Winter
14461;Europa;Europe;Schweiz;Switzerland;Bern;;08.07.23;16.07.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;13;;9;13;CHF;;1000;60;300;150;150;100;1760;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;9;Summer
17592;Europa;Europe;Schweiz;Switzerland;Bern;;23.07.23;04.08.23;Sommer;Summer;Ferien mit nur einem Übernachtungsort in der Schweiz;Holidays with only one overnight stay in Switzerland;;;;Nein;Non;Trifft nicht zu;Not applicable;Trifft zu;Applies;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;Trifft nicht zu;Not applicable;;2;;13;2;CHF;;1000;0;100;0;0;0;1100;;;;;;;;;;Ja;Yverdon-les-Bains;;Yverdon-les-Bains;695;Yverdon-les-Bains Région;Campingplatz;Campsite;;;;;13;Summer
